configuration,threshold,learning_sample_size,TP,FP,FN,delay_mean,delay_std,delay_median,labeled_delay_mean,labeled_delay_std,labeled_delay_median,power,significance
exponential-exponential,0.04,50,894,149,106,57.336,23.485,52.0,44.874,18.194,41.0,0.894,0.149
exponential-exponential,0.07,5,1000,514,0,22.309,12.61,19.0,12.387,47.785,15.0,1.0,0.514
exponential-exponential,0.07,10,999,259,1,27.251,12.801,24.0,19.337,29.41,19.0,0.999,0.259
exponential-exponential,0.07,20,985,121,15,36.787,17.605,32.0,27.846,18.138,25.0,0.985,0.121
exponential-exponential,0.07,50,882,172,118,55.638,23.936,49.5,42.354,18.221,39.0,0.882,0.172
exponential-exponential,0.18,5,1000,576,0,21.107,13.985,18.0,8.854,50.047,13.0,1.0,0.576
exponential-exponential,0.18,10,999,331,1,25.774,13.966,22.0,16.436,34.298,17.0,0.999,0.331
exponential-exponential,0.18,20,988,169,12,35.044,18.572,30.0,24.756,20.128,22.0,0.988,0.169
exponential-exponential,0.18,50,870,219,130,52.954,26.036,45.0,37.313,18.712,33.0,0.87,0.219
exponential-exponential,0.27,5,1000,619,0,20.528,14.449,17.0,7.381,51.689,12.0,1.0,0.619
exponential-exponential,0.27,10,999,372,1,25.602,15.701,21.0,15.573,36.88,15.0,0.999,0.372
exponential-exponential,0.27,20,986,203,14,34.437,19.427,29.0,23.402,21.483,20.0,0.986,0.203
exponential-exponential,0.27,50,864,251,136,51.45,26.972,43.0,34.568,19.377,30.0,0.864,0.251
exponential-normal,0.04,5,1000,356,0,4.837,6.881,3.0,-13.431,35.476,0.0,1.0,0.356
exponential-normal,0.04,10,1000,230,0,4.53,5.876,3.0,-0.675,21.858,1.0,1.0,0.23
exponential-normal,0.04,20,994,139,6,5.513,7.431,4.0,3.442,11.571,1.75,0.994,0.139
exponential-normal,0.04,50,961,102,39,8.326,8.83,6.0,5.35,10.496,3.0,0.961,0.102
exponential-normal,0.07,5,1000,382,0,5.116,8.141,3.0,-15.231,38.109,0.0,1.0,0.382
exponential-normal,0.07,10,1000,254,0,4.733,6.46,3.0,-1.564,25.119,1.0,1.0,0.254
exponential-normal,0.07,20,993,157,7,5.553,7.618,4.0,3.342,12.317,1.0,0.993,0.157
exponential-normal,0.07,50,952,115,48,8.466,9.224,6.0,5.182,10.556,3.0,0.952,0.115
exponential-normal,0.18,5,1000,455,0,6.017,9.583,3.0,-19.27,43.291,0.0,1.0,0.455
exponential-normal,0.18,10,1000,319,0,5.44,8.113,3.0,-1.479,31.276,1.0,1.0,0.319
exponential-normal,0.18,20,993,195,7,6.165,9.477,4.0,4.201,16.883,1.0,0.993,0.195
exponential-normal,0.18,50,946,148,54,8.945,10.566,6.0,5.562,12.586,2.0,0.946,0.148
exponential-normal,0.27,5,1000,490,0,6.2,9.272,3.0,-19.949,45.932,0.0,1.0,0.49
exponential-normal,0.27,10,1000,359,0,5.977,8.694,3.0,-1.465,35.242,0.0,1.0,0.359
exponential-normal,0.27,20,993,236,7,6.836,10.504,4.0,4.678,20.893,1.0,0.993,0.236
exponential-normal,0.27,50,939,178,61,9.88,12.379,6.0,5.782,14.139,2.0,0.939,0.178
exponential-uniform,0.04,5,977,247,23,24.134,14.05,21.0,3.496,36.073,16.0,0.977,0.247
exponential-uniform,0.04,10,969,125,31,27.234,14.665,24.0,15.442,22.097,18.0,0.969,0.125
exponential-uniform,0.04,20,943,84,57,31.941,16.363,27.5,23.415,13.967,22.0,0.943,0.084
exponential-uniform,0.04,50,902,111,98,44.588,21.853,39.0,33.988,15.116,31.0,0.902,0.111
exponential-uniform,0.07,5,976,288,24,22.964,13.76,20.0,-0.374,39.61,14.0,0.976,0.288
exponential-uniform,0.07,10,968,142,32,26.1,15.102,23.0,13.132,24.077,17.0,0.968,0.142
exponential-uniform,0.07,20,942,94,58,30.54,16.581,26.0,21.513,13.751,20.0,0.942,0.094
exponential-uniform,0.07,50,894,122,106,42.488,21.591,36.0,31.274,14.438,28.0,0.894,0.122
exponential-uniform,0.18,5,984,338,16,20.747,13.934,17.0,-5.934,43.721,11.0,0.984,0.338
exponential-uniform,0.18,10,970,189,30,23.531,14.918,20.0,8.336,28.873,14.0,0.97,0.189
exponential-uniform,0.18,20,934,137,66,28.659,18.425,23.0,17.508,16.195,16.0,0.934,0.137
exponential-uniform,0.18,50,880,156,120,39.258,23.266,32.0,26.512,14.588,23.0,0.88,0.156
exponential-uniform,0.27,5,986,386,14,20.256,15.772,16.0,-9.265,46.264,10.0,0.986,0.386
exponential-uniform,0.27,10,971,223,29,22.817,16.221,18.0,6.995,31.463,12.0,0.971,0.223
